choice,reward,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,t
2,0,0,0,0,0,0,77,0,0,0,0,0,19,1,0,0,26,0,0,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,0,1,0,0,1,24,31,0,0,0,0,0,0,0,0,1,33,0,14,0,0,0,0,5,2,3,0,0,10,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4,2,0,0,1,0,0,12,8,17
4,0,9,6,0,30,0,0,17,0,0,0,1,0,0,94,0,0,0,0,1,0,0,0,0,0,1,0,0,2,10,0,0,0,1,0,3,0,6,2,0,0,0,0,1,0,0,1,7,0,1,0,0,0,3,0,0,30,0,0,0,0,0,0,0,1,2,6,14,0,4,0,4,20,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,6,1,0,3,0,0,0,5,18
5,0,12,7,0,34,0,0,17,0,0,0,3,0,0,85,0,0,0,0,3,0,0,0,0,0,2,0,0,1,10,0,0,0,2,0,0,0,5,2,0,0,0,0,4,0,0,0,8,1,1,0,0,0,3,0,0,21,0,0,0,0,0,1,0,3,0,10,12,0,1,0,1,24,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,6,3,0,4,2,0,0,2,19
5,0,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,26,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,41,0,0,1,0,2,36,3,0,13,0,5,0,0,0,3,1,0,0,0,2,0,0,0,0,39,0,0,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,1,6,0,0,0,9,20
2,0,78,0,0,10,0,0,0,0,0,32,0,2,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,11,0,0,0,0,0,9,1,8,0,8,0,0,3,0,0,0,0,37,0,0,4,9,0,0,1,1,0,7,0,0,1,0,0,0,11,0,0,1,0,0,1,6,2,0,0,0,2,0,0,1,0,0,0,4,0,1,0,4,8,0,0,0,21
2,0,7,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,4,0,0,7,7,0,0,0,0,0,28,23,0,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,6,51,0,0,0,15,3,4,4,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,50,9,0,0,0,0,0,4,0,6,0,0,0,0,0,15,0,23,4,0,0,22
2,0,2,0,0,39,15,0,1,0,0,0,19,0,0,1,0,0,0,2,3,12,3,0,5,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,58,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,1,0,34,0,0,0,0,0,0,0,19,0,0,0,1,0,0,7,0,1,20,0,1,0,0,0,4,0,0,0,0,0,4,0,7,0,1,0,0,9,0,1,0,0,0,23
2,0,33,1,2,39,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,1,0,0,0,0,1,36,4,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,41,2,21,3,1,3,0,0,0,0,0,0,0,40,0,0,0,1,26,1,0,0,0,0,0,0,13,0,2,24
4,0,0,0,0,0,0,83,0,0,0,0,0,19,0,0,0,30,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,4,5,0,0,0,2,0,0,0,26,28,0,0,0,0,0,0,0,0,0,27,1,16,0,1,0,0,10,1,2,0,0,5,1,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,10,3,25
4,0,36,0,1,38,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,5,0,0,1,3,0,27,4,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,6,14,11,0,9,0,0,0,0,0,0,0,35,0,0,0,2,23,1,0,0,0,0,0,0,17,0,1,26
4,0,22,1,1,38,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,0,0,0,6,1,40,5,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,41,11,12,4,0,4,0,0,0,0,0,0,0,34,0,0,0,1,27,1,0,0,0,0,0,0,15,0,0,27
3,0,39,0,0,43,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,1,0,37,5,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,10,13,3,1,5,0,0,0,0,0,0,0,37,0,0,0,1,27,0,0,0,0,0,0,0,14,0,0,28
2,0,2,0,40,0,6,0,0,0,0,5,19,0,0,0,0,23,0,0,3,0,39,0,0,0,0,0,0,0,0,13,0,1,0,0,0,7,0,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,20,9,0,2,0,0,6,0,0,3,0,0,0,0,0,0,1,0,47,0,1,0,1,30,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,29
3,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,10,0,0,6,16,0,0,0,0,0,18,26,0,1,1,3,0,0,5,0,0,1,0,0,0,0,0,0,12,28,0,0,0,6,0,1,3,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,63,9,0,0,0,0,0,4,0,7,0,0,0,0,0,17,0,23,2,0,0,30
4,0,9,7,0,38,0,0,15,0,0,0,0,0,0,97,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,5,0,9,1,0,1,0,0,2,0,0,0,8,0,1,0,0,0,2,0,0,27,0,0,0,0,0,0,0,1,1,4,10,0,0,0,3,10,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,3,5,0,3,0,5,0,0,4,1,2,0,5,31
4,0,12,3,0,45,0,0,19,0,0,0,1,0,0,86,0,0,0,0,5,0,0,0,0,0,1,0,0,1,14,0,0,0,1,0,1,0,12,1,0,0,0,0,1,0,0,0,9,1,3,0,0,0,1,0,0,19,0,0,0,0,0,0,0,4,1,4,9,0,1,0,5,17,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,3,2,0,0,0,7,0,0,2,0,0,0,5,32
3,0,7,0,0,1,0,0,0,0,0,0,9,1,0,1,0,0,5,4,0,0,2,11,0,0,0,0,1,24,28,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,8,39,0,0,0,15,1,0,6,0,9,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,56,1,0,0,0,0,0,10,0,5,0,0,0,1,0,16,0,22,1,0,0,33
2,0,7,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,4,7,0,0,6,8,0,0,0,0,0,19,30,0,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0,12,50,0,0,0,3,2,1,7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,52,3,0,0,0,0,1,6,0,2,0,0,0,0,0,21,0,24,0,0,0,34
4,0,1,12,0,0,0,10,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,11,6,0,0,0,1,0,1,0,0,0,0,11,0,12,27,0,2,0,0,26,1,0,0,0,2,2,0,0,3,0,9,0,1,27,0,0,23,0,0,0,0,22,6,0,11,0,0,0,0,0,0,0,30,1,0,0,0,35
3,0,5,0,0,25,2,0,0,0,0,26,0,0,12,0,0,0,0,10,2,0,0,6,0,0,0,32,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,15,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,1,50,0,0,1,0,0,0,0,5,0,0,21,28,6,0,36
4,0,43,0,2,33,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,2,0,0,0,0,2,27,3,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,31,11,20,8,0,6,0,0,0,0,0,0,0,47,0,0,0,3,18,0,0,0,0,0,0,0,13,0,1,37
1,0,32,0,1,48,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,1,1,33,3,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,10,15,6,1,1,0,0,0,0,0,0,0,39,0,0,0,2,26,0,0,0,0,0,0,0,11,0,1,38
3,0,30,0,2,33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,1,1,1,0,33,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,51,14,9,7,1,3,0,0,0,0,0,0,0,38,0,0,0,1,25,0,0,0,0,0,0,0,15,0,0,39
3,0,1,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,27,0,1,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,47,0,0,2,0,2,22,3,0,15,0,8,3,0,1,1,2,0,0,0,0,0,0,0,0,42,0,0,0,5,0,0,0,0,0,22,0,0,0,3,0,0,1,0,0,0,0,0,10,0,0,0,0,5,0,5,3,0,0,0,11,40
4,0,0,3,40,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,19,0,1,2,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,48,0,0,1,0,4,23,1,0,17,0,3,0,0,0,4,2,0,0,0,0,0,0,0,0,43,1,0,0,6,0,0,0,0,0,25,0,0,0,3,0,0,1,0,1,0,0,0,2,0,0,0,0,6,0,4,3,0,0,0,13,41
1,0,0,1,33,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17,0,28,0,1,3,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,3,37,3,0,10,0,6,5,0,0,1,1,0,0,0,1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,6,1,0,0,13,42
4,0,37,0,1,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,1,3,1,27,4,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,43,12,18,6,0,4,0,0,0,0,0,0,0,31,0,0,0,3,22,2,0,0,0,0,0,0,9,0,1,43
4,0,0,0,0,45,18,0,3,0,0,0,20,0,0,3,0,0,0,2,2,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,48,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,8,0,4,37,0,0,0,0,0,1,0,5,1,0,0,2,0,0,7,0,1,25,0,0,0,0,0,3,0,0,0,0,0,4,0,2,0,3,0,0,10,0,1,1,0,0,44
4,0,6,3,1,37,0,0,19,0,0,0,0,0,0,93,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,11,3,0,0,0,0,1,0,0,1,6,0,0,0,0,0,3,0,0,18,0,0,1,0,0,0,0,1,1,5,16,0,2,0,5,18,0,0,0,1,1,0,0,0,0,0,0,0,2,5,0,0,0,0,2,0,6,0,0,5,1,0,0,10,45
5,0,62,0,0,13,0,0,0,0,0,30,0,2,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,4,1,0,0,0,0,15,5,6,0,9,0,1,2,0,0,0,0,42,0,1,12,9,0,0,0,0,0,2,0,3,2,0,1,0,11,0,0,0,0,0,0,8,4,0,0,0,3,0,0,0,4,0,0,3,0,0,1,2,5,0,0,0,46
2,0,7,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,3,5,0,0,11,10,0,0,0,0,1,23,33,0,2,6,8,0,0,2,0,0,0,0,0,0,0,0,0,5,42,0,0,0,7,0,2,3,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,49,4,0,0,0,0,1,4,0,7,0,1,0,1,0,14,0,30,1,0,0,47
4,0,11,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,4,8,0,0,6,6,0,0,0,0,0,12,29,0,3,1,5,0,0,1,0,0,0,0,0,0,0,0,0,13,40,0,0,0,3,3,2,2,0,6,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,9,0,0,0,0,59,3,0,0,0,0,1,5,0,8,0,0,0,2,0,20,0,18,1,0,0,48
4,1,67,0,0,19,0,0,0,0,0,31,0,1,26,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,5,0,2,5,0,0,0,0,0,12,2,5,0,7,0,1,2,0,0,0,0,40,0,0,12,9,1,0,0,1,0,6,0,0,1,0,1,0,15,0,0,0,0,0,1,4,4,0,0,0,1,0,0,2,0,0,0,4,0,0,0,1,4,0,0,0,49
5,0,73,0,0,19,0,0,0,0,0,18,0,2,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,3,10,0,0,0,0,0,9,2,20,0,4,0,2,1,0,0,0,0,45,0,0,16,11,0,0,1,0,0,2,0,0,1,0,0,0,5,0,0,1,0,0,1,8,7,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,5,0,0,0,50
3,0,65,0,0,20,0,0,0,0,0,29,0,1,15,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,1,0,0,0,0,0,5,0,2,9,1,0,0,0,0,20,5,6,0,6,0,2,6,0,0,0,0,37,0,0,9,5,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,2,0,0,3,7,3,0,0,0,1,0,0,1,0,0,0,6,0,0,1,2,11,0,0,0,51
3,0,8,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,5,8,0,0,8,18,0,0,0,0,0,23,33,0,3,1,3,0,0,4,0,0,0,0,0,0,0,0,0,7,49,0,0,0,9,0,1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,56,5,0,0,0,0,0,6,0,1,0,0,0,1,0,12,0,18,0,0,0,52
5,0,32,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,0,5,0,36,5,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,18,6,0,8,0,0,0,0,0,0,0,34,0,0,0,0,27,2,0,0,0,0,0,0,16,0,2,53
1,0,34,0,0,44,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,0,0,3,2,36,1,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,11,11,9,0,6,0,0,0,0,0,0,0,29,0,0,3,3,25,1,0,0,0,0,0,0,11,0,1,54
1,0,1,4,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,20,0,1,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,37,0,0,1,0,4,20,5,0,11,0,10,6,0,0,3,2,0,0,0,1,0,0,1,0,46,0,0,0,3,0,0,0,0,0,31,0,0,0,4,0,0,1,0,0,0,0,0,7,0,0,0,0,6,0,1,8,3,0,0,7,55
2,0,28,0,2,34,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,2,0,0,0,2,1,25,3,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,9,12,10,0,3,0,0,0,0,0,0,0,40,0,0,0,2,31,0,0,0,0,0,0,0,14,0,1,56
4,0,25,0,1,37,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,2,0,0,0,4,0,40,5,0,0,0,0,0,0,0,0,0,11,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,40,8,18,8,1,3,0,0,0,0,0,0,0,38,0,0,0,1,23,0,0,0,0,0,0,0,15,0,1,57
5,0,35,0,3,41,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,5,0,0,0,1,1,31,6,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,40,13,14,7,2,5,0,0,0,0,0,0,0,35,0,0,0,3,15,1,0,0,0,0,0,0,11,0,1,58
4,0,27,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,2,1,0,0,2,0,40,4,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,10,16,2,1,1,0,0,0,0,0,0,0,44,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0,59
3,0,30,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0,0,3,1,0,0,1,1,31,6,0,0,0,0,0,0,0,0,0,14,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,55,6,20,3,1,3,0,0,0,0,0,0,0,33,0,0,0,3,22,1,0,0,0,0,0,0,9,0,2,60
3,0,47,0,0,31,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,2,0,0,0,3,1,33,4,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,39,11,14,6,1,1,0,0,0,0,0,0,0,38,0,0,1,3,29,0,0,0,0,0,0,0,13,0,0,61
5,0,0,1,0,0,0,96,0,0,0,1,0,13,0,0,0,31,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,1,0,0,1,14,30,0,0,0,0,0,0,0,0,1,38,0,15,0,0,0,0,2,6,2,0,0,5,0,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,10,6,62
2,1,2,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,24,0,1,1,0,5,1,1,0,0,3,0,0,0,0,0,0,0,0,30,0,0,0,1,1,34,5,0,10,1,5,1,0,2,1,3,0,0,0,0,0,0,1,0,52,1,0,0,1,0,0,0,0,0,29,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,2,4,1,0,0,14,63
5,0,77,0,0,13,0,0,0,0,0,39,0,0,24,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,15,3,7,0,9,0,3,2,0,0,0,0,31,0,1,11,3,0,0,2,0,0,3,0,1,2,0,0,0,11,0,0,0,0,0,1,8,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,10,0,0,0,64
